time_s,frame,ch0_mv,ch1_mv,ch2_mv,ch3_mv,ch4_mv,ch5_mv,ch6_mv,ch7_mv,status
-48.156,4405590,-2488.57349,-2500,-2500,2499.9997,18.3641911,-3.5944581,2499.9997,-1.03831291,7
-48.155,4405591,-2454.67663,-2500,-2500,2499.9997,18.2753801,-3.70800495,2499.9997,-1.04099512,7
-48.154,4405592,-2437.40052,-2500,-2500,2499.9997,18.2151794,-3.79145145,2499.9997,-0.998973846,7
-48.153,4405593,-2440.70232,-2500,-2500,2499.9997,18.197,-3.86178493,2499.9997,-1.11758709,7
-48.152,4405594,-2442.04611,-2500,-2500,2499.9997,18.0819631,-3.73244286,2499.9997,-1.04397535,7
-48.151,4405595,-2434.61609,-2500,-2500,2499.9997,18.0265307,-3.70591879,2499.9997,-0.71644783,7
-48.15,4405596,-2416.48346,-2500,-2500,2499.9997,18.0286169,-3.58730555,2499.9997,-0.518262386,7
-48.149,4405597,-2389.08261,-2500,-2500,2499.9997,18.0131197,-3.64810228,2499.9997,-0.456273556,7
-48.148,4405598,-2386.20073,-2500,-2500,2499.9997,18.0470943,-3.81708145,2499.9997,-0.50753355,7
-48.147,4405599,-2421.2572,-2500,-2500,2499.9997,18.1245804,-3.73989344,2499.9997,-0.622272491,7
-48.146,4405600,-2451.621,-2500,-2500,2499.9997,18.1663036,-3.79890203,2499.9997,-0.568330288,7
-48.145,4405601,-2456.28476,-2500,-2500,2499.9997,17.9597735,-3.80218029,2499.9997,-0.705718994,7
-48.144,4405602,-2454.58961,-2500,-2500,2499.9997,17.8426504,-3.65585089,2499.9997,-0.791847706,7
-48.143,4405603,-2458.30804,-2500,-2500,2499.9997,18.132627,-3.68207693,2499.9997,-0.692903996,7
-48.142,4405604,-2469.12211,-2500,-2500,2499.9997,18.2503462,-3.56793404,2499.9997,-0.861287117,7
-48.141,4405605,-2491.10937,-2500,-2500,2499.9997,18.2822347,-3.61770391,2499.9997,-0.894665718,7
-48.14,4405606,-2500,-2500,-2500,2499.9997,18.273294,-3.6290288,2499.9997,-0.889897346,7
-48.139,4405607,-2476.6764,-2500,-2500,2499.9997,18.324554,-3.66210938,2499.9997,-0.795722008,7
-48.138,4405608,-2443.36307,-2500,-2500,2499.9997,18.3707476,-3.54170799,2499.9997,-0.675618649,7
-48.137,4405609,-2434.60894,-2500,-2500,2499.9997,18.209517,-3.49223614,2499.9997,-0.449120998,7
-48.136,4405610,-2436.59288,-2500,-2500,2499.9997,18.1460381,-3.6495924,2499.9997,-0.361502171,7
-48.135,4405611,-2434.01349,-2500,-2500,2499.9997,18.1999803,-3.60757113,2499.9997,-0.28192997,7
-48.134,4405612,-2423.61188,-2500,-2500,2499.9997,18.2127953,-3.60906124,2499.9997,-0.177323818,7
-48.133,4405613,-2399.36143,-2500,-2500,2499.9997,18.0235505,-3.67224216,2499.9997,-0.251233578,7
-48.132,4405614,-2375.37682,-2500,-2500,2499.9997,18.0780888,-3.68088484,2499.9997,-0.0604987144,7
-48.131,4405615,-2389.17798,-2500,-2500,2499.9997,17.9862976,-3.57180834,2499.9997,-0.0178813934,7
-48.13,4405616,-2431.69278,-2500,-2500,2499.9997,18.1552768,-3.52174044,2499.9997,-0.114440918,7
-48.129,4405617,-2455.12933,-2500,-2500,2499.9997,18.2443857,-3.52084637,2499.9997,-0.176131725,7
-48.128,4405618,-2455.50841,-2500,-2500,2499.9997,18.3129311,-3.71694565,2499.9997,-0.225901604,7
-48.127,4405619,-2453.67527,-2500,-2500,2499.9997,18.2288885,-3.76224518,2499.9997,-0.0780820847,7
-48.126,4405620,-2460.4699,-2500,-2500,2499.9997,18.2384253,-3.78757715,2499.9997,-0.173151493,7
-48.125,4405621,-2475.61783,-2500,-2500,2499.9997,18.1716681,-3.46124172,2499.9997,-0.194907188,7
-48.124,4405622,-2499.7434,-2500,-2500,2499.9997,18.2905793,-3.6200881,2499.9997,-0.189840794,7
-48.123,4405623,-2500,-2500,-2500,2499.9997,18.3135271,-3.63647938,2499.9997,-0.222623348,7
-48.122,4405624,-2469.28871,-2500,-2500,2499.9997,18.42767,-3.5944581,2499.9997,-0.445246696,7
-48.121,4405625,-2442.01034,-2500,-2500,2499.9997,18.5215473,-3.66747379,2499.9997,-0.517368317,7
-48.12,4405626,-2439.05008,-2500,-2500,2499.9997,18.2569027,-3.87966633,2499.9997,-0.693798065,7
-48.119,4405627,-2441.14041,-2500,-2500,2499.9997,18.0354714,-3.72648239,2499.9997,-0.81807375,7
-48.118,4405628,-2438.34496,-2500,-2500,2499.9997,17.6557899,-3.74466181,2499.9997,-0.721812248,7
-48.117,4405629,-2425.21167,-2500,-2500,2499.9997,17.4281001,-3.58045101,2499.9997,-0.732541084,7
-48.116,4405630,-2395.91867,-2500,-2500,2499.9997,17.6280737,-3.59863043,2499.9997,-0.903904438,7
-48.115,4405631,-2382.20185,-2500,-2500,2499.9997,17.5985694,-3.62455845,2499.9997,-0.650882721,7
-48.114,4405632,-2406.94135,-2500,-2500,2499.9997,17.7362561,-3.78042459,2499.9997,-0.49829483,7
-48.113,4405633,-2444.43417,-2500,-2500,2499.9997,17.939806,-3.80963087,2499.9997,-0.576972961,7
-48.112,4405634,-2456.28655,-2500,-2500,2499.9997,17.7896023,-3.93599272,2499.9997,-0.623762608,7
-48.111,4405635,-2453.64189,-2500,-2500,2499.9997,17.9433823,-3.66538763,2499.9997,-0.614821911,7
-48.11,4405636,-2455.68365,-2500,-2500,2499.9997,17.8703666,-3.67254019,2499.9997,-0.700652599,7
-48.109,4405637,-2465.90376,-2500,-2500,2499.9997,17.8807974,-3.58104706,2499.9997,-0.864267349,7
-48.108,4405638,-2487.94973,-2500,-2500,2499.9997,17.9290771,-3.71843576,2499.9997,-0.86158514,7
-48.107,4405639,-2500,-2500,-2500,2499.9997,17.9579854,-3.63141298,2499.9997,-0.87171793,7
-48.106,4405640,-2497.98954,-2500,-2500,2499.9997,18.1776285,-3.69936228,2499.9997,-1.02311373,7
-48.105,4405641,-2459.83839,-2500,-2500,2499.9997,18.440783,-3.61770391,2499.9997,-1.02251768,7
-48.104,4405642,-2440.74553,-2500,-2500,2499.9997,18.3060765,-3.52591276,2499.9997,-1.07318163,7
-48.103,4405643,-2441.25724,-2500,-2500,2499.9997,18.1731582,-3.59594822,2499.9997,-1.19835138,7
-48.102,4405644,-2441.00809,-2500,-2500,2499.9997,18.1034207,-3.6278367,2499.9997,-1.47610903,7
-48.101,4405645,-2432.14518,-2500,-2500,2499.9997,17.8843737,-3.83645296,2499.9997,-1.54405832,7
-48.1,4405646,-2413.31667,-2500,-2500,2499.9997,17.7198648,-3.84926796,2499.9997,-1.55985355,7
