time_s,frame,ch0_mv,ch1_mv,ch2_mv,status
-59.682,428105,-2419.69705,1174.18468,-1683.03758,1
-59.681,428106,-2432.44648,1171.73195,-1682.16079,1
-59.68,428107,-2414.81185,1171.86755,-1676.96178,1
-59.679,428108,-2386.10566,1173.83212,-1674.84611,1
-59.678,428109,-2377.12324,1175.75675,-1675.43769,1
-59.677,428110,-2376.95515,1177.78063,-1677.32418,1
-59.676,428111,-2375.48113,1176.41062,-1678.59554,1
-59.675,428112,-2368.28238,1176.04256,-1680.20785,1
-59.674,428113,-2347.98551,1179.52526,-1680.55117,1
-59.673,428114,-2326.59042,1181.40638,-1680.55892,1
-59.672,428115,-2335.63006,1181.97769,-1683.77161,1
-59.671,428116,-2368.86829,1180.04322,-1687.84589,1
-59.67,428117,-2386.14112,1177.077,-1686.55664,1
-59.669,428118,-2386.93535,1176.7745,-1684.37243,1
-59.668,428119,-2385.69796,1178.52837,-1683.54899,1
-59.667,428120,-2391.62713,1177.02961,-1682.67846,1
-59.666,428121,-2404.43438,1175.74871,-1682.63465,1
-59.665,428122,-2423.91497,1172.11491,-1682.95503,1
-59.664,428123,-2426.92411,1172.4335,-1681.40501,1
-59.663,428124,-2400.617,1173.65211,-1675.77088,1
-59.662,428125,-2379.00853,1176.37068,-1675.84628,1
-59.661,428126,-2377.28238,1177.95378,-1678.08026,1
-59.66,428127,-2378.17705,1176.74798,-1679.03155,1
-59.659,428128,-2375.3193,1176.51433,-1678.93708,1
-59.658,428129,-2363.27767,1178.88153,-1679.21424,1
-59.657,428130,-2340.11859,1181.9908,-1677.67853,1
-59.656,428131,-2326.44528,1183.85732,-1680.70138,1
-59.655,428132,-2346.77464,1182.19286,-1685.96447,1
-59.654,428133,-2378.95787,1180.363,-1688.24136,1
-59.653,428134,-2389.17142,1177.66321,-1686.88327,1
-59.652,428135,-2386.19149,1176.11796,-1684.62902,1
-59.651,428136,-2386.4609,1176.78463,-1684.52799,1
-59.65,428137,-2392.43299,1175.30584,-1682.91897,1
-59.649,428138,-2408.28186,1173.24471,-1683.24471,1
-59.648,428139,-2426.31078,1170.88169,-1682.37597,1
-59.647,428140,-2418.58751,1171.86844,-1678.09814,1
-59.646,428141,-2390.27023,1174.27617,-1675.4812,1
-59.645,428142,-2375.80895,1176.17995,-1677.34653,1
-59.644,428143,-2374.75067,1177.76394,-1677.9092,1
-59.643,428144,-2375.27817,1177.44863,-1679.19606,1
-59.642,428145,-2371.98442,1177.93381,-1680.82863,1
-59.641,428146,-2357.81521,1180.36628,-1679.11053,1
-59.64,428147,-2334.2967,1182.3988,-1679.16447,1
-59.639,428148,-2333.69172,1182.73944,-1682.30891,1
-59.638,428149,-2363.3188,1180.9054,-1686.51938,1
-59.637,428150,-2388.08364,1179.36999,-1685.9585,1
-59.636,428151,-2390.83707,1177.41853,-1684.20732,1
-59.635,428152,-2388.58372,1176.86063,-1681.76204,1
-59.634,428153,-2391.1652,1176.58377,-1682.4764,1
-59.633,428154,-2399.66482,1174.34621,-1682.75326,1
-59.632,428155,-2418.8596,1171.76175,-1682.96576,1
-59.631,428156,-2428.98643,1171.42737,-1680.56965,1
-59.63,428157,-2409.95258,1171.06766,-1677.68747,1
-59.629,428158,-2383.40944,1173.02418,-1676.16069,1
-59.628,428159,-2375.16493,1175.1157,-1677.51163,1
-59.627,428160,-2375.57381,1176.16028,-1680.30918,1
-59.626,428161,-2373.37023,1176.14627,-1680.83429,1
-59.625,428162,-2366.6504,1176.65648,-1681.29325,1
-59.624,428163,-2346.91471,1179.95918,-1680.18162,1
-59.623,428164,-2328.8542,1181.67341,-1680.12649,1
-59.622,428165,-2339.29068,1181.16409,-1684.74555,1
-59.621,428166,-2374.82011,1179.98719,-1688.79002,1
-59.62,428167,-2393.40693,1178.27147,-1686.47677,1
-59.619,428168,-2392.7319,1178.11501,-1684.94403,1
-59.618,428169,-2389.90963,1178.03872,-1684.78578,1
-59.617,428170,-2395.01536,1176.82278,-1682.44809,1
-59.616,428171,-2407.83006,1173.96444,-1682.6725,1
-59.615,428172,-2426.89699,1171.87619,-1682.85221,1
-59.614,428173,-2428.71016,1171.45628,-1679.66634,1
